! [  1] WCX=-8.635627e-03
!! [  1] WCX=-5.449320e+00
!!! [  1] WCX=-5.449320e+00
" [  1] WIQ=-3.650989e-01
0,91 [  1] MCSX=-9.675143e+00
0. [  1] MOSX=-6.989566e+00
0.58 [  1] MCSX=-9.675143e+00
0.77 [  1] MCSX=-9.675143e+00
00 [  1] MCSX=-9.675143e+00
00.00 [  1] MCSX=-9.675143e+00
00.05 [  1] MCSX=-9.675143e+00
00.15-04.00 [  1] MCSX=-9.675143e+00
00.35-01.30 [  1] MCSX=-9.675143e+00
00.40 [  1] MCSX=-9.675143e+00
00.55 [  1] MCSX=-9.675143e+00
000 [  1] MCSX=-6.091624e+00
000000 [  1] MCSX=-9.675143e+00
001 [  1] MCSX=-9.675143e+00
01 [  1] MCSX=-8.576530e+00
01-03 [  1] MCSX=-9.675143e+00
01. [  1] MOSX=-5.736803e+00
01.00 [  1] MCSX=-9.675143e+00
01.01.2000 [  1] MCSX=-6.456267e+00
01.01.2001 [  1] MCSX=-8.981996e+00
01.01.2002 [  1] MCSX=-5.441037e+00
01.01.96 [  1] MCSX=-8.065705e+00
01.01.99 [  1] MCSX=-8.576530e+00
01.02.2002 [  1] MCSX=-8.981996e+00
01.02.97 [  1] MCSX=-7.477919e+00
01.03.2001 [  1] MCSX=-6.307847e+00
01.05 [  1] MCSX=-9.675143e+00
01.05-05.30 [  1] MCSX=-9.675143e+00
01.07.2002 [  1] MCSX=-8.288849e+00
01.08.2000 [  1] MCSX=-7.883384e+00
01.09.2000 [  1] MCSX=-8.576530e+00
01.09.93 [  1] MCSX=-7.883384e+00
01.09.96 [  1] MCSX=-8.576530e+00
01.10.2000 [  1] MCSX=-8.981996e+00
01.15-02.15 [  1] MCSX=-9.675143e+00
01.30 [  1] MCSX=-9.675143e+00
02 [  1] MCSX=-8.576530e+00
02. [  1] MOSX=-5.542646e+00
03 [  1] MCSX=-8.288849e+00
03. [  1] MOSX=-7.277248e+00
04 [  1] MCSX=-8.981996e+00
04. [  1] MOSX=-6.429950e+00
05 [  1] MCSX=-8.576530e+00
05. [  1] MOSX=-6.989566e+00
05.05.93 [  1] MCSX=-7.883384e+00
05.11.99 [  1] MCSX=-8.065705e+00
05.12.2001 [  1] MCSX=-6.119795e+00
06 [  1] MCSX=-8.576530e+00
06. [  1] MOSX=-5.667810e+00
06.01.2002 [  1] MCSX=-6.119795e+00
06.06.1996 [  1] MCSX=-9.675143e+00
06.12.2000 [  1] MCSX=-8.981996e+00
07. [  1] MOSX=-6.584101e+00
07.01.2001 [  1] MCSX=-8.981996e+00
07.04.2000 [  1] MCSX=-7.477919e+00
07.06.2000 [  1] MCSX=-8.576530e+00
08 [  1] MCSX=-9.675143e+00
08.03.2000 [  1] MCSX=-7.477919e+00
08.05.2001 [  1] MCSX=-7.729233e+00
08.06.96 [  1] MCSX=-8.288849e+00
08.12.1999 [  1] MCSX=-6.630620e+00
09. [  1] MOSX=-4.638190e+00
09.02.93 [  1] MCSX=-8.065705e+00
09.11.1995 [  1] MCSX=-9.675143e+00
09.12.98 [  1] MCSX=-8.576530e+00
1 [  2] MCSX=-2.146274e+00 MOSX=-8.375860e+00
1% [  1] MCSX=-9.675143e+00
1) [  1] MCSX=-8.288849e+00
1,1 [  1] MCSX=-9.675143e+00
1,12 [  1] MCSX=-9.675143e+00
1,2 [  1] MCSX=-7.729233e+00
1,270 [  1] MCSX=-9.675143e+00
1,3 [  1] MCSX=-8.576530e+00
1,36 [  1] MCSX=-9.675143e+00
1,4-kordselt [  1] RR=-1.030622e+01
1,5 [  1] MCSX=-6.841929e+00
1,5% [  1] MCSX=-9.675143e+00
1,6 [  1] MCSX=-9.675143e+00
1,60 [  1] MCSX=-9.675143e+00
1,7 [  1] MCSX=-9.675143e+00
1,9 [  1] MCSX=-8.576530e+00
1- [  1] MCSX=-9.675143e+00
1--3 [  1] MCSX=-9.675143e+00
1--4 [  1] MCSX=-9.675143e+00
1-1 [  1] MCSX=-6.967093e+00
1-12 [  1] MCSX=-9.675143e+00
1-15 [  1] MCSX=-9.675143e+00
1-2 [  1] MCSX=-7.729233e+00
1-2% [  1] MCSX=-9.675143e+00
1-3 [  1] MCSX=-7.477919e+00
1-3% [  1] MCSX=-9.675143e+00
1-4 [  1] MCSX=-7.729233e+00
1-5 [  1] MCSX=-9.675143e+00
1-6 [  1] MCSX=-8.288849e+00
1-94 [  1] MCSX=-9.675143e+00
1. [  1] MOSX=-2.658832e+00
1.-2. [  1] MOSX=-8.375860e+00
1.-3. [  1] MOSX=-8.375860e+00
1.-4. [  1] MOSX=-8.375860e+00
1.-5. [  1] MOSX=-8.375860e+00
1.-7. [  1] MOSX=-8.375860e+00
1...1,5 [  1] MCSX=-9.675143e+00
1.01 [  1] MCSX=-9.675143e+00
1.03 [  1] MCSX=-9.675143e+00
1.09.1994 [  1] MCSX=-9.675143e+00
